date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,earnings_per_share,p_e_ratio,sma_50,next_close
2025-01-29,AAPL,239.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,558.4934896779521,239.8206,237.59
2025-01-30,AAPL,237.59,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,554.3635871180842,240.00799999999998,236.0
2025-01-31,AAPL,236.0,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,550.6536746490503,240.22799999999998,228.01
2025-02-03,AAPL,228.01,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,532.0107811725846,240.2278,232.8
2025-02-04,AAPL,232.8,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,543.1871841453344,240.3182,232.47
2025-02-05,AAPL,232.47,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,542.4172023121387,240.3876,233.22
2025-02-06,AAPL,233.22,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,544.1671610239471,240.4816,227.63
2025-02-07,AAPL,227.63,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,531.1241354252684,240.4368,227.65
2025-02-10,AAPL,227.65,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,531.1708009909166,240.33239999999998,232.62
2025-02-11,AAPL,232.62,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,542.7671940545004,240.2836,236.87
2025-02-12,AAPL,236.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,552.6836267547482,240.3224,241.53
2025-02-13,AAPL,241.53,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,563.5567035507845,240.4064,244.6
2025-02-14,AAPL,244.6,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,570.7198678777869,240.5066,244.47
2025-02-18,AAPL,244.47,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,570.4165417010735,240.543,244.87
2025-02-19,AAPL,244.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,571.349853014038,240.5802,245.83
2025-02-20,AAPL,245.83,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,573.5898001651527,240.63600000000002,245.55
2025-02-21,AAPL,245.55,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,572.9364822460776,240.6902,247.1
2025-02-24,AAPL,247.1,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,576.553063583815,240.6972,247.04
2025-02-25,AAPL,247.04,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,576.4130668868703,240.68259999999998,240.36
2025-02-26,AAPL,240.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,560.8267679603633,240.56,237.3
2025-02-27,AAPL,237.3,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,553.686936416185,240.3468,241.84
2025-02-28,AAPL,241.84,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,564.280019818332,240.22099999999998,238.03
2025-03-03,AAPL,238.03,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,555.3902295623451,239.9608,235.93
2025-03-04,AAPL,235.93,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,550.4903451692816,239.6098,235.74
2025-03-05,AAPL,235.74,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,550.0470222956235,239.36360000000002,235.33
2025-03-06,AAPL,235.33,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,0.42858154020385053,549.0903781998348,239.0744,
